task_type,trial_number,stimulus,word,color,num1,num2,correct_answer,response,reaction_time,reaction_time_from_onset,correct,event,page,time_ms
Baseline,,,,,,,,,,,,baseline_start,,0
Baseline,,,,,,,,,,,,signal_check_start,,0
Baseline,,,,,,,,,,,,eyes_open_start,,10008
Baseline,,,,,,,,,,,,blinks_start,,70015
Baseline,,,,,,,,,,,,blink_1,,72631
Baseline,,,,,,,,,,,,blink_2,,76655
Baseline,,,,,,,,,,,,blink_3,,80671
Baseline,,,,,,,,,,,,blink_4,,84686
Baseline,,,,,,,,,,,,blink_5,,88702
Baseline,,,,,,,,,,,,h_move_start,,90110
Baseline,,,,,,,,,,,,h_move_step1,,90120
Baseline,,,,,,,,,,,,h_move_step2,,93875
Baseline,,,,,,,,,,,,h_move_step3,,97633
Baseline,,,,,,,,,,,,h_move_step4,,101390
Baseline,,,,,,,,,,,,v_move_start,,105147
Baseline,,,,,,,,,,,,v_move_step1,,105148
Baseline,,,,,,,,,,,,v_move_step2,,108904
Baseline,,,,,,,,,,,,v_move_step3,,112661
Baseline,,,,,,,,,,,,v_move_step4,,116419
Baseline,,,,,,,,,,,,eyes_closed_start,,120176
Baseline,,,,,,,,,,,,baseline_end,,182209
Addition,1,,,,769,145,914,914,8862,,True,,,
Addition,2,,,,345,987,1332,1332,10689,,True,,,
Addition,3,,,,404,139,543,543,6023,,True,,,
Addition,4,,,,581,636,1217,1217,7846,,True,,,
Addition,5,,,,481,205,686,686,4880,,True,,,
Addition,6,,,,384,953,1337,1337,8639,,True,,,
Addition,7,,,,865,420,1285,1285,5664,,True,,,
Addition,8,,,,417,496,913,913,7811,,True,,,
Addition,9,,,,331,247,578,568,4663,,False,,,
Addition,10,,,,762,574,1336,1336,9193,,True,,,
Addition,11,,,,438,848,1286,1286,7200,,True,,,
Addition,12,,,,849,753,1602,1602,7612,,True,,,
Addition,13,,,,333,869,1202,1202,9540,,True,,,
Addition,14,,,,756,741,1497,1497,5822,,True,,,
Addition,15,,,,851,266,1117,1117,8904,,True,,,
Addition,16,,,,102,590,692,692,4030,,True,,,
Addition,17,,,,329,529,858,858,6057,,True,,,
Addition,18,,,,466,338,804,805,6155,,False,,,
Addition,19,,,,255,398,653,653,12003,,True,,,
Addition,20,,,,492,985,1477,1477,7870,,True,,,
Passive Video,,,,,,,,,,,,task_start:video,,0
Passive Video,,,,,,,,,,,,task_end,,180116
Stroop A,1,blue_blue,XANH DƯƠNG,blue,,,,c,458,708,True,,,
Stroop A,2,yellow_green,VÀNG,green,,,,c,733,983,True,,,
Stroop A,3,red_blue,ĐỎ,blue,,,,c,431,681,True,,,
Stroop A,4,red_red,ĐỎ,red,,,,m,368,618,True,,,
Stroop A,5,red_red,ĐỎ,red,,,,m,181,431,True,,,
Stroop A,6,green_red,XANH LÁ,red,,,,m,263,513,True,,,
Stroop A,7,green_green,XANH LÁ,green,,,,c,275,525,True,,,
Stroop A,8,yellow_red,VÀNG,red,,,,m,253,503,True,,,
Stroop A,9,red_red,ĐỎ,red,,,,m,576,826,True,,,
Stroop A,10,red_green,ĐỎ,green,,,,c,220,470,True,,,
Stroop A,11,yellow_yellow,VÀNG,yellow,,,,m,214,464,True,,,
Stroop A,12,yellow_blue,VÀNG,blue,,,,c,212,462,True,,,
Stroop A,13,blue_blue,XANH DƯƠNG,blue,,,,c,233,483,True,,,
Stroop A,14,green_blue,XANH LÁ,blue,,,,c,219,469,True,,,
Stroop A,15,yellow_yellow,VÀNG,yellow,,,,m,201,451,True,,,
Stroop A,16,yellow_yellow,VÀNG,yellow,,,,m,91,341,True,,,
Stroop A,17,blue_green,XANH DƯƠNG,green,,,,c,228,478,True,,,
Stroop A,18,green_green,XANH LÁ,green,,,,c,100,350,True,,,
Stroop A,19,green_yellow,XANH LÁ,yellow,,,,m,224,474,True,,,
Stroop A,20,green_green,XANH LÁ,green,,,,c,288,538,True,,,
Stroop A,21,blue_blue,XANH DƯƠNG,blue,,,,c,286,536,True,,,
Stroop A,22,blue_red,XANH DƯƠNG,red,,,,m,277,527,True,,,
Stroop A,23,red_yellow,ĐỎ,yellow,,,,m,415,665,True,,,
Stroop A,24,blue_yellow,XANH DƯƠNG,yellow,,,,c,436,686,False,,,
Stroop A,25,red_yellow,ĐỎ,yellow,,,,m,543,793,True,,,
Stroop A,26,yellow_red,VÀNG,red,,,,m,637,887,True,,,
Stroop A,27,green_blue,XANH LÁ,blue,,,,c,179,429,True,,,
Stroop A,28,green_yellow,XANH LÁ,yellow,,,,m,243,493,True,,,
Stroop A,29,green_green,XANH LÁ,green,,,,c,163,413,True,,,
Stroop A,30,red_red,ĐỎ,red,,,,m,135,385,True,,,
Stroop A,31,blue_yellow,XANH DƯƠNG,yellow,,,,m,393,643,True,,,
Stroop A,32,yellow_yellow,VÀNG,yellow,,,,m,191,441,True,,,
Stroop A,33,blue_green,XANH DƯƠNG,green,,,,c,223,473,True,,,
Stroop A,34,green_green,XANH LÁ,green,,,,c,146,396,True,,,
Stroop A,35,blue_blue,XANH DƯƠNG,blue,,,,c,295,545,True,,,
Stroop A,36,red_blue,ĐỎ,blue,,,,c,408,658,True,,,
Stroop A,37,yellow_yellow,VÀNG,yellow,,,,m,214,464,True,,,
Stroop A,38,yellow_blue,VÀNG,blue,,,,c,273,523,True,,,
Stroop A,39,green_green,XANH LÁ,green,,,,c,233,483,True,,,
Stroop A,40,red_red,ĐỎ,red,,,,m,233,483,True,,,
Stroop A,41,green_red,XANH LÁ,red,,,,m,251,501,True,,,
Stroop A,42,red_green,ĐỎ,green,,,,c,787,1037,True,,,
Stroop A,43,blue_red,XANH DƯƠNG,red,,,,m,534,784,True,,,
Stroop A,44,blue_blue,XANH DƯƠNG,blue,,,,c,252,502,True,,,
Stroop A,45,blue_blue,XANH DƯƠNG,blue,,,,c,80,330,True,,,
Stroop A,46,yellow_yellow,VÀNG,yellow,,,,m,194,444,True,,,
Stroop A,47,yellow_green,VÀNG,green,,,,c,188,438,True,,,
Stroop A,48,red_red,ĐỎ,red,,,,m,79,329,True,,,
Stroop A,49,blue_red,XANH DƯƠNG,red,,,,m,326,576,True,,,
Stroop A,50,green_green,XANH LÁ,green,,,,c,165,415,True,,,
