task_type,trial_number,stimulus,word,color,num1,num2,correct_answer,response,reaction_time,reaction_time_from_onset,correct,event,page,time_ms
Baseline,,,,,,,,,,,,baseline_start,,0
Baseline,,,,,,,,,,,,signal_check_start,,0
Baseline,,,,,,,,,,,,eyes_open_start,,10004
Baseline,,,,,,,,,,,,blinks_start,,70012
Baseline,,,,,,,,,,,,blink_1,,72628
Baseline,,,,,,,,,,,,blink_2,,76652
Baseline,,,,,,,,,,,,blink_3,,80667
Baseline,,,,,,,,,,,,blink_4,,84682
Baseline,,,,,,,,,,,,blink_5,,88698
Baseline,,,,,,,,,,,,h_move_start,,90106
Baseline,,,,,,,,,,,,h_move_step1,,90117
Baseline,,,,,,,,,,,,h_move_step2,,93872
Baseline,,,,,,,,,,,,h_move_step3,,97629
Baseline,,,,,,,,,,,,h_move_step4,,101386
Baseline,,,,,,,,,,,,v_move_start,,105143
Baseline,,,,,,,,,,,,v_move_step1,,105143
Baseline,,,,,,,,,,,,v_move_step2,,108900
Baseline,,,,,,,,,,,,v_move_step3,,112657
Baseline,,,,,,,,,,,,v_move_step4,,116415
Baseline,,,,,,,,,,,,eyes_closed_start,,120172
Baseline,,,,,,,,,,,,baseline_end,,182205
Fairy Tale,,,,,,,,,,,,task_start,,0
Fairy Tale,,,,,,,,,,,,page_view,1,74
Fairy Tale,,,,,,,,,,,,page_view,2,10941
Fairy Tale,,,,,,,,,,,,page_view,3,25313
Fairy Tale,,,,,,,,,,,,page_view,4,29873
Fairy Tale,,,,,,,,,,,,page_view,5,49463
Fairy Tale,,,,,,,,,,,,page_view,6,60511
Fairy Tale,,,,,,,,,,,,page_view,7,71181
Fairy Tale,,,,,,,,,,,,page_view,8,88310
Fairy Tale,,,,,,,,,,,,page_view,9,100513
Fairy Tale,,,,,,,,,,,,page_view,10,113531
Fairy Tale,,,,,,,,,,,,page_view,11,122449
Fairy Tale,,,,,,,,,,,,page_view,12,134225
Fairy Tale,,,,,,,,,,,,page_view,13,143088
Fairy Tale,,,,,,,,,,,,page_view,14,151843
Fairy Tale,,,,,,,,,,,,page_view,15,155074
Fairy Tale,,,,,,,,,,,,page_view,16,172451
Fairy Tale,,,,,,,,,,,,task_end,16,180002
Passive Video,,,,,,,,,,,,task_start:video,,0
Passive Video,,,,,,,,,,,,task_end,,180100
Addition,1,,,,613,571,1184,1184,9329,,True,,,
Addition,2,,,,263,706,969,969,5056,,True,,,
Addition,3,,,,912,831,1743,1734,8650,,False,,,
Addition,4,,,,817,535,1352,1352,10668,,True,,,
Addition,5,,,,765,837,1602,1602,7820,,True,,,
Addition,6,,,,941,682,1623,1723,8155,,False,,,
Addition,7,,,,332,895,1227,1227,11061,,True,,,
Addition,8,,,,705,839,1544,1544,5891,,True,,,
Addition,9,,,,838,798,1636,1626,9050,,False,,,
Addition,10,,,,631,471,1102,1102,11335,,True,,,
Addition,11,,,,350,437,787,787,5494,,True,,,
Addition,12,,,,607,836,1443,1443,6830,,True,,,
Addition,13,,,,262,526,788,788,5019,,True,,,
Addition,14,,,,222,863,1085,1085,6300,,True,,,
Addition,15,,,,755,360,1115,1115,9158,,True,,,
Addition,16,,,,978,887,1865,1865,12288,,True,,,
Addition,17,,,,166,151,317,317,7307,,True,,,
Addition,18,,,,360,484,844,844,8007,,True,,,
Addition,19,,,,810,274,1084,incomplete,4972,,False,,,
CPT-X,1,H,,,,,,none,,,False,,,
CPT-X,2,X,,,,,,c,627,,True,,,
CPT-X,3,M,,,,,,space,417,,True,,,
CPT-X,4,S,,,,,,space,372,,True,,,
CPT-X,5,F,,,,,,space,386,,True,,,
CPT-X,6,Z,,,,,,space,419,,True,,,
CPT-X,7,E,,,,,,space,353,,True,,,
CPT-X,8,X,,,,,,c,431,,True,,,
CPT-X,9,X,,,,,,c,368,,True,,,
CPT-X,10,X,,,,,,c,349,,True,,,
CPT-X,11,D,,,,,,space,345,,True,,,
CPT-X,12,H,,,,,,space,611,,True,,,
CPT-X,13,X,,,,,,c,329,,True,,,
CPT-X,14,X,,,,,,c,377,,True,,,
CPT-X,15,U,,,,,,space,360,,True,,,
CPT-X,16,U,,,,,,space,480,,True,,,
CPT-X,17,X,,,,,,c,309,,True,,,
CPT-X,18,N,,,,,,space,401,,True,,,
CPT-X,19,X,,,,,,c,281,,True,,,
CPT-X,20,X,,,,,,c,375,,True,,,
CPT-X,21,H,,,,,,space,410,,True,,,
CPT-X,22,P,,,,,,space,369,,True,,,
CPT-X,23,X,,,,,,c,364,,True,,,
CPT-X,24,E,,,,,,space,306,,True,,,
CPT-X,25,X,,,,,,c,355,,True,,,
CPT-X,26,V,,,,,,space,391,,True,,,
CPT-X,27,V,,,,,,space,401,,True,,,
CPT-X,28,E,,,,,,space,352,,True,,,
CPT-X,29,N,,,,,,space,358,,True,,,
CPT-X,30,X,,,,,,c,325,,True,,,
CPT-X,31,X,,,,,,c,522,,True,,,
CPT-X,32,B,,,,,,space,356,,True,,,
CPT-X,33,K,,,,,,space,440,,True,,,
CPT-X,34,J,,,,,,space,367,,True,,,
CPT-X,35,P,,,,,,space,346,,True,,,
CPT-X,36,Z,,,,,,space,318,,True,,,
CPT-X,37,X,,,,,,c,520,,True,,,
CPT-X,38,X,,,,,,c,412,,True,,,
CPT-X,39,U,,,,,,space,326,,True,,,
CPT-X,40,M,,,,,,space,352,,True,,,
CPT-X,41,B,,,,,,space,339,,True,,,
CPT-X,42,B,,,,,,space,317,,True,,,
CPT-X,43,S,,,,,,space,318,,True,,,
CPT-X,44,K,,,,,,c,333,,False,,,
CPT-X,45,Z,,,,,,space,411,,True,,,
CPT-X,46,M,,,,,,space,366,,True,,,
CPT-X,47,X,,,,,,c,421,,True,,,
CPT-X,48,P,,,,,,space,320,,True,,,
CPT-X,49,X,,,,,,c,370,,True,,,
CPT-X,50,U,,,,,,space,330,,True,,,
CPT-X,51,M,,,,,,space,295,,True,,,
CPT-X,52,A,,,,,,space,319,,True,,,
CPT-X,53,L,,,,,,space,367,,True,,,
CPT-X,54,N,,,,,,space,315,,True,,,
CPT-X,55,X,,,,,,c,441,,True,,,
CPT-X,56,X,,,,,,c,376,,True,,,
CPT-X,57,Z,,,,,,space,339,,True,,,
CPT-X,58,P,,,,,,space,323,,True,,,
