Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
06270056,00047056,06414336,00004936,00006266
06270168,00047075,06414624,00004935,00006265
06269984,00047081,06414464,00004935,00006263
06269792,00047093,06414232,00004934,00006262
06269664,00047100,06414224,00004932,00006262
06269888,00047110,06414376,00004931,00006260
06269752,00047122,06414352,00004930,00006260
06269568,00047129,06414568,00004931,00006254
06269400,00047133,06413528,00004925,00006254
06269320,00047138,06413848,00004926,00006250
06269600,00047142,06414240,00004928,00006252
06269728,00047152,06415296,00004923,00006251
06269272,00047164,06414072,00004926,00006247
06269344,00047162,06413136,00004923,00006248
06269176,00047166,06413440,00004921,00006251
06269328,00047168,06413792,00004921,00006244
06269432,00047174,06414224,00004920,00006246
06268992,00047177,06413880,00004923,00006245
06269152,00047190,06413544,00004919,00006243
06269064,00047189,06413832,00004921,00006243
06269248,00047192,06413720,00004916,00006245
06269056,00047197,06413728,00004916,00006239
06268728,00047205,06413256,00004918,00006241
06268688,00047201,06413104,00004916,00006239
06268920,00047210,06413664,00004914,00006244
06268688,00047209,06413792,00004917,00006239
06268840,00047205,06414056,00004915,00006241
06268376,00047205,06413456,00004918,00006242
06268416,00047214,06413144,00004917,00006242
06268664,00047214,06413480,00004920,00006243
06268688,00047213,06413808,00004916,00006248
06268464,00047210,06413656,00004917,00006244
06268272,00047212,06413560,00004916,00006248
06268200,00047215,06413104,00004921,00006245
06268584,00047221,06413640,00004920,00006245
06268952,00047219,06413872,00004920,00006246
06268824,00047220,06413640,00004919,00006246
06268176,00047208,06412944,00004921,00006252
06268096,00047221,06413192,00004920,00006252
06268616,00047219,06413440,00004923,00006252
06268552,00047219,06414056,00004920,00006252
06268264,00047219,06414008,00004920,00006252
06268064,00047222,06413168,00004921,00006255
06268304,00047217,06412952,00004921,00006254
06268536,00047228,06413696,00004923,00006258
06268688,00047222,06413936,00004920,00006255
06268528,00047223,06414080,00004922,00006257
06267944,00047216,06413104,00004922,00006258
06268208,00047218,06413120,00004924,00006261
06268352,00047221,06413464,00004923,00006262
06268272,00047225,06413312,00004924,00006262
06268208,00047227,06413592,00004925,00006264
06268176,00047228,06412736,00004932,00006262
06268176,00047226,06412864,00004928,00006262
06268520,00047222,06413496,00004928,00006266
06268400,00047224,06414048,00004927,00006270
06268168,00047225,06413768,00004929,00006270
06267928,00047227,06413128,00004932,00006270
06268088,00047221,06413352,00004930,00006274
06268480,00047228,06413744,00004929,00006272
06268256,00047235,06414456,00004929,00006270
06267976,00047263,06413608,00004926,00006267
06268080,00047283,06413040,00004929,00006262
06268200,00047302,06413832,00004924,00006257
06268448,00047313,06414504,00004922,00006255
06268384,00047317,06414032,00004920,00006253
06268048,00047313,06413432,00004917,00006249
06267880,00047319,06413232,00004918,00006246
06268528,00047306,06413720,00004917,00006246
06269024,00047307,06414264,00004917,00006248
06268296,00047291,06414320,00004917,00006243
06267872,00047285,06413672,00004918,00006245
06268136,00047281,06413192,00004918,00006242
06268376,00047273,06413616,00004914,00006248
06268192,00047266,06414384,00004918,00006242
06268216,00047258,06414296,00004919,00006246
06267872,00047254,06413776,00004916,00006246
06267808,00047250,06413904,00004914,00006247
