Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
06732384,00053869,06697832,00004836,00006089
06731840,00053879,06693672,00004840,00006085
06731808,00053877,06698688,00004837,00006085
06731784,00053881,06693576,00004839,00006084
06732072,00053884,06697176,00004836,00006081
06732440,00053885,06696776,00004836,00006080
06731488,00053886,06694112,00004836,00006084
06731720,00053882,06698784,00004833,00006082
06731600,00053879,06693208,00004836,00006081
06732104,00053885,06698096,00004833,00006082
06732360,00053891,06695976,00004836,00006083
06731728,00053888,06694896,00004833,00006080
06731784,00053894,06698640,00004836,00006081
06731896,00053886,06693592,00004836,00006085
06732256,00053889,06698576,00004837,00006081
06732472,00053888,06695016,00004836,00006082
06731656,00053892,06695896,00004836,00006084
06731384,00053898,06698104,00004840,00006080
06731840,00053895,06693456,00004833,00006086
06732168,00053900,06699192,00004837,00006085
06732216,00053896,06694288,00004837,00006085
06731496,00053908,06697008,00004833,00006083
06731480,00053904,06697664,00004835,00006084
06731584,00053912,06693872,00004837,00006086
06732248,00053913,06699360,00004836,00006088
06731824,00053914,06693768,00004835,00006086
06731648,00053916,06697504,00004835,00006081
06731600,00053921,06696136,00004837,00006086
06731760,00053914,06694528,00004834,00006087
06732352,00053922,06698832,00004836,00006087
06731768,00053922,06693520,00004836,00006090
06731600,00053926,06698776,00004834,00006090
06731496,00053928,06695160,00004835,00006086
06731800,00053934,06695968,00004838,00006086
06732312,00053943,06698584,00004834,00006088
06731552,00053940,06693712,00004838,00006088
06731752,00053944,06698840,00004836,00006088
06731744,00053950,06694656,00004839,00006088
06732072,00053950,06696216,00004837,00006089
06732448,00053956,06697944,00004837,00006090
06731656,00053959,06693840,00004835,00006086
06731840,00053963,06699048,00004834,00006090
06731744,00053967,06694064,00004839,00006088
06732120,00053958,06697312,00004838,00006089
06732496,00053973,06697160,00004838,00006091
06731712,00053978,06694424,00004837,00006092
06731416,00053978,06699224,00004841,00006088
06731672,00053973,06693616,00004838,00006089
06732200,00053980,06698552,00004835,00006091
06732168,00053972,06696208,00004837,00006087
06731928,00053970,06695680,00004839,00006087
06731560,00053958,06698728,00004836,00006087
06731656,00053960,06693464,00004835,00006086
06732088,00053963,06698984,00004833,00006083
06732080,00053949,06695048,00004834,00006080
06731632,00053941,06696208,00004836,00006082
06731624,00053943,06697864,00004835,00006083
06731832,00053939,06693536,00004837,00006082
06732600,00053934,06699456,00004835,00006083
06731968,00053927,06694296,00004834,00006085
06731800,00053925,06697248,00004834,00006082
06731856,00053917,06697576,00004834,00006081
06731816,00053911,06694136,00004831,00006081
06732224,00053914,06699296,00004837,00006082
06731968,00053906,06693816,00004837,00006079
06731760,00053899,06697912,00004834,00006081
06731728,00053902,06696352,00004836,00006085
06732176,00053900,06694872,00004837,00006081
06732560,00053901,06699064,00004836,00006081
06732080,00053899,06694016,00004834,00006081
06731984,00053899,06698920,00004836,00006083
06731856,00053902,06695552,00004835,00006080
06732064,00053899,06695552,00004837,00006079
06732136,00053897,06698248,00004834,00006080
06731752,00053894,06693848,00004834,00006080
06731592,00053896,06699192,00004835,00006082
06731712,00053891,06694552,00004834,00006082
06732248,00053896,06696792,00004835,00006081
06732256,00053891,06698032,00004833,00006080
06731984,00053894,06693936,00004839,00006081
06731656,00053888,06699112,00004838,00006081
06731688,00053889,06693760,00004837,00006083
06732360,00053892,06697896,00004835,00006077
06732040,00053900,06697040,00004838,00006083
06731736,00053893,06694592,00004839,00006083
06731792,00053892,06699208,00004832,00006084
06731904,00053899,06693560,00004838,00006082
06732608,00053897,06698384,00004836,00006086
06732328,00053892,06695976,00004835,00006083
06731680,00053904,06695064,00004839,00006082
06731320,00053903,06698632,00004837,00006084
06731552,00053906,06693392,00004838,00006081
06732176,00053909,06698720,00004835,00006088
06731888,00053908,06695328,00004837,00006085
06731656,00053915,06696784,00004837,00006084
06731800,00053914,06698248,00004838,00006086
06732008,00053916,06693592,00004836,00006085
06732336,00053916,06699176,00004839,00006086
06732000,00053926,06694520,00004837,00006084
06731712,00053930,06697352,00004839,00006089
06731872,00053924,06697272,00004838,00006088
06731656,00053929,06694280,00004836,00006086
06732272,00053931,06699440,00004837,00006087
06731696,00053930,06693880,00004840,00006090
06731760,00053940,06698216,00004841,00006085
06731408,00053941,06696256,00004837,00006087
06731848,00053945,06694648,00004837,00006089
06732296,00053948,06698912,00004837,00006094
06731856,00053949,06693320,00004841,00006087
06732040,00053952,06698792,00004838,00006088
06731816,00053955,06695184,00004836,00006090
06732248,00053955,06695728,00004835,00006093
06732776,00053958,06698440,00004840,00006091
06731816,00053966,06693288,00004837,00006087
06731368,00053970,06699184,00004837,00006089
06731808,00053977,06694696,00004838,00006089
06732336,00053977,06697176,00004839,00006090
06731960,00053963,06698312,00004836,00006091
06732040,00053965,06693976,00004835,00006087
06731784,00053967,06699240,00004838,00006085
06731784,00053961,06693928,00004838,00006087
06731768,00053946,06697376,00004836,00006083
06732016,00053947,06696736,00004835,00006086
06731488,00053936,06694168,00004835,00006085
06731648,00053926,06699384,00004833,00006079
06731832,00053933,06693528,00004836,00006080
06732160,00053915,06698448,00004837,00006079
06731912,00053910,06695816,00004833,00006082
06731256,00053906,06695208,00004835,00006080
06731616,00053899,06698720,00004834,00006084
06731512,00053891,06693128,00004834,00006080
06732344,00053887,06698696,00004834,00006079
06731784,00053876,06694632,00004834,00006079
06731712,00053875,06696360,00004836,00006078
06731232,00053867,06697896,00004832,00006081
06731784,00053862,06693240,00004838,00006080
06732200,00053853,06699040,00004835,00006080
06731904,00053850,06693848,00004836,00006080
06731720,00053843,06697504,00004836,00006080
06731584,00053838,06697016,00004835,00006081
06731800,00053830,06693600,00004838,00006085
06732336,00053833,06698904,00004833,00006082
06731760,00053836,06693656,00004835,00006079
06731312,00053831,06698064,00004835,00006078
06731728,00053824,06696528,00004837,00006076
06731736,00053827,06695368,00004834,00006078
06732104,00053822,06698696,00004835,00006084
06731592,00053815,06693096,00004837,00006081
06731760,00053819,06698624,00004834,00006081
06731856,00053817,06695160,00004833,00006080
06731800,00053816,06695856,00004834,00006077
06732080,00053811,06698592,00004838,00006080
06731480,00053809,06693488,00004833,00006084
06731536,00053813,06699264,00004836,00006083
06731808,00053812,06694336,00004836,00006083
06732192,00053815,06697376,00004835,00006077
06732208,00053813,06697872,00004838,00006078
06731696,00053810,06693464,00004840,00006084
06731608,00053817,06699328,00004836,00006084
06731768,00053819,06693480,00004835,00006083
06732232,00053812,06697960,00004838,00006083
06732104,00053819,06696720,00004835,00006084
06731424,00053820,06694704,00004840,00006083
06731528,00053816,06699160,00004838,00006084
06731632,00053817,06693040,00004838,00006087
06732152,00053821,06698784,00004837,00006084
06732152,00053828,06695712,00004836,00006084
06731488,00053827,06695776,00004838,00006087
06731264,00053829,06698648,00004838,00006086
06731624,00053832,06693312,00004837,00006087
06732264,00053835,06699184,00004838,00006088
06731968,00053836,06694936,00004841,00006087
06731408,00053844,06696808,00004838,00006087
06731424,00053845,06697872,00004836,00006088
06731672,00053847,06693536,00004836,00006087
06732152,00053857,06699064,00004837,00006087
06731624,00053856,06693720,00004831,00006089
06731488,00053861,06697424,00004835,00006089
06731360,00053867,06696784,00004837,00006089
06731448,00053872,06694048,00004839,00006089
06732264,00053886,06699344,00004838,00006092
06731504,00053883,06693520,00004840,00006087
06731416,00053889,06698088,00004840,00006088
06731744,00053895,06696056,00004838,00006090
06731752,00053901,06695056,00004841,00006090
06732400,00053905,06699008,00004839,00006090
06731256,00053905,06693464,00004838,00006093
06731496,00053911,06698592,00004838,00006089
06731392,00053902,06695056,00004834,00006087
06731808,00053902,06695920,00004832,00006083
06732088,00053896,06698176,00004837,00006085
06731520,00053893,06693064,00004834,00006082
06731584,00053889,06699176,00004833,00006087
06731376,00053884,06694664,00004837,00006085
06732280,00053874,06697304,00004833,00006081
06731984,00053867,06697840,00004835,00006083
06731504,00053867,06694224,00004835,00006083
06731480,00053852,06699424,00004834,00006079
06731688,00053861,06693896,00004836,00006082
06731952,00053846,06698128,00004836,00006082
06732064,00053840,06696776,00004837,00006081
06731640,00053836,06694736,00004833,00006080
06731408,00053833,06698960,00004837,00006082
06731760,00053828,06693216,00004834,00006080
06731952,00053831,06698624,00004834,00006078
06732224,00053822,06695904,00004833,00006083
06731544,00053820,06696024,00004836,00006080
06731736,00053827,06698688,00004835,00006082
06731624,00053827,06693608,00004838,00006081
06731872,00053819,06698864,00004835,00006081
06731792,00053826,06695000,00004828,00006082
06731744,00053828,06697080,00004834,00006080
06731832,00053822,06698192,00004836,00006082
06732144,00053821,06694480,00004836,00006084
06732312,00053818,06699504,00004835,00006082
06731600,00053826,06694352,00004837,00006079
06731608,00053821,06697864,00004840,00006080
06731752,00053819,06696976,00004833,00006081
06731880,00053820,06694544,00004834,00006082
06732184,00053824,06699016,00004836,00006082
06731456,00053823,06693944,00004833,00006079
06731544,00053826,06698384,00004834,00006084
06731416,00053824,06696096,00004835,00006082
06732008,00053828,06695456,00004835,00006079
06732176,00053823,06699144,00004835,00006082
06731560,00053837,06693568,00004834,00006080
06731200,00053833,06698648,00004836,00006082
06731664,00053828,06695584,00004836,00006082
06732048,00053829,06696576,00004837,00006084
06732144,00053839,06698640,00004835,00006083
06731616,00053840,06694424,00004833,00006086
06731480,00053839,06699384,00004835,00006081
06731464,00053846,06694328,00004836,00006085
06731912,00053850,06697376,00004833,00006085
06731680,00053854,06697552,00004841,00006086
06731272,00053857,06694184,00004839,00006083
06731528,00053856,06699264,00004836,00006086
06731512,00053857,06693704,00004835,00006090
06732144,00053860,06698320,00004833,00006082
06732296,00053867,06696608,00004834,00006085
06731408,00053868,06695248,00004835,00006086
06731416,00053870,06699112,00004836,00006085
06731744,00053875,06693408,00004836,00006086
06732104,00053878,06698672,00004839,00006086
06731856,00053882,06695696,00004837,00006085
06731336,00053884,06696168,00004837,00006085
06731256,00053890,06698496,00004835,00006088
06731288,00053890,06693552,00004837,00006089
06732104,00053891,06699256,00004838,00006089
06731944,00053902,06695488,00004838,00006089
06731568,00053916,06697184,00004839,00006088
06731368,00053909,06698064,00004837,00006092
06731712,00053915,06693952,00004838,00006091
06732224,00053920,06699504,00004839,00006092
06731632,00053923,06694272,00004841,00006091
06731664,00053926,06697584,00004839,00006089
06731584,00053928,06697224,00004838,00006089
06731896,00053928,06694552,00004834,00006089
06732320,00053920,06699616,00004835,00006084
06731528,00053924,06693816,00004833,00006085
06731352,00053917,06698680,00004834,00006085
06731656,00053914,06696216,00004835,00006084
06732000,00053908,06695696,00004834,00006084
06732272,00053902,06699176,00004833,00006082
06731296,00053896,06693568,00004837,00006082
06731616,00053897,06699056,00004836,00006084
06731984,00053885,06695232,00004834,00006083
06732160,00053883,06696624,00004836,00006085
06732216,00053868,06698616,00004836,00006083
06731512,00053872,06694160,00004834,00006082
06731568,00053879,06699576,00004836,00006083
06731360,00053862,06694504,00004835,00006081
06732064,00053864,06697296,00004833,00006082
06732080,00053864,06697528,00004833,00006085
06731568,00053859,06694216,00004833,00006082
06731656,00053854,06699688,00004835,00006080
06731720,00053855,06693744,00004836,00006078
06732224,00053857,06697896,00004831,00006080
06731744,00053858,06696336,00004830,00006083
06731488,00053860,06694728,00004833,00006080
06731624,00053856,06699232,00004835,00006082
06731832,00053854,06693528,00004834,00006079
06731904,00053858,06699024,00004835,00006081
06731744,00053857,06695392,00004834,00006078
06731320,00053860,06696176,00004835,00006080
06731416,00053858,06698664,00004838,00006079
06731656,00053860,06693696,00004834,00006081
06732384,00053856,06699192,00004835,00006083
06731640,00053857,06694448,00004836,00006081
06731472,00053861,06696832,00004835,00006080
06731448,00053863,06697624,00004834,00006081
06731608,00053863,06694064,00004834,00006082
06732416,00053864,06699536,00004838,00006077
06731672,00053869,06694440,00004835,00006083
06731288,00053864,06697680,00004832,00006081
06731440,00053862,06697256,00004836,00006077
