Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
07783808,00052395,07565384,00001593,00002129
07788776,00052401,07570448,00001593,00002131
07787184,00052415,07574256,00001594,00002129
07781472,00052409,07563144,00001594,00002132
07784144,00052422,07561152,00001591,00002131
07781656,00052424,07564552,00001593,00002128
07786928,00052432,07567944,00001594,00002133
07785192,00052431,07572032,00001595,00002128
07781448,00052435,07560816,00001593,00002133
07784744,00052438,07561696,00001592,00002129
07784000,00052449,07565768,00001593,00002131
07787208,00052451,07570128,00001596,00002132
07782416,00052456,07569224,00001593,00002131
07781440,00052460,07558760,00001594,00002132
07783728,00052457,07561640,00001597,00002133
07784712,00052466,07565328,00001595,00002132
07788200,00052474,07571576,00001594,00002133
07783680,00052487,07569272,00001595,00002135
07784128,00052496,07560536,00001596,00002136
07786104,00052501,07563896,00001594,00002132
07786800,00052508,07568016,00001590,00002127
07789392,00052507,07573616,00001592,00002131
07783088,00052501,07569088,00001589,00002127
07782976,00052494,07559616,00001591,00002123
07782920,00052482,07562560,00001590,00002123
07784328,00052470,07565272,00001588,00002119
07787688,00052454,07572264,00001588,00002119
07781632,00052444,07566872,00001590,00002117
07782880,00052428,07559248,00001590,00002116
07784608,00052404,07564104,00001586,00002118
07786640,00052393,07568144,00001589,00002116
07787264,00052383,07573624,00001588,00002112
07780312,00052367,07564840,00001587,00002118
07782032,00052358,07558128,00001590,00002114
07780848,00052357,07562152,00001589,00002114
07784864,00052349,07565000,00001587,00002115
07787264,00052346,07572376,00001586,00002117
07782896,00052342,07565104,00001586,00002114
07784160,00052336,07561224,00001583,00002113
07782296,00052334,07562824,00001586,00002114
07787864,00052331,07567680,00001588,00002113
07787928,00052323,07573632,00001587,00002115
07783232,00052323,07563496,00001589,00002116
07786544,00052318,07562104,00001587,00002115
07786264,00052315,07566048,00001587,00002112
07789656,00052314,07571256,00001590,00002113
07785896,00052306,07572424,00001587,00002118
07780776,00052312,07560360,00001587,00002113
07782352,00052312,07558680,00001588,00002116
07781360,00052307,07561056,00001587,00002114
