Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
07001952,00054964,06995872,00001511,00002030
07002112,00054972,06995896,00001508,00002033
07002008,00054971,06996088,00001504,00002031
07002080,00054990,06995896,00001509,00002029
07001920,00054993,06996232,00001508,00002029
07001960,00054998,06996224,00001512,00002029
07002328,00055008,06996128,00001510,00002029
07002056,00055005,06996120,00001513,00002030
07002040,00055005,06995912,00001509,00002027
07002032,00055001,06995872,00001510,00002028
07001912,00054994,06995776,00001510,00002028
07001808,00054988,06995992,00001509,00002028
07002136,00054988,06995984,00001510,00002027
07002320,00054973,06995920,00001506,00002025
07002144,00054964,06995872,00001503,00002027
07002096,00054959,06996096,00001508,00002024
07002000,00054950,06996192,00001508,00002024
07002176,00054939,06995944,00001507,00002024
07001920,00054924,06996056,00001508,00002022
07001912,00054925,06995760,00001508,00002021
07001904,00054915,06995784,00001509,00002021
07002032,00054905,06996024,00001507,00002020
07001632,00054892,06995832,00001508,00002019
07001424,00054893,06995824,00001505,00002019
07001320,00054889,06995792,00001505,00002016
07001336,00054891,06995664,00001508,00002016
07001336,00054888,06995960,00001505,00002015
07001192,00054871,06995656,00001506,00002017
07001360,00054863,06995720,00001506,00002016
07001360,00054852,06995600,00001508,00002014
07001488,00054836,06995568,00001505,00002013
07001416,00054824,06995664,00001507,00002014
07001152,00054824,06995528,00001505,00002013
07001112,00054816,06995400,00001505,00002012
07001504,00054829,06995448,00001505,00002013
07001560,00054822,06995480,00001507,00002009
07001472,00054822,06995544,00001504,00002012
07001416,00054821,06995688,00001505,00002012
07001256,00054834,06995704,00001505,00002016
07001072,00054841,06995840,00001505,00002014
07001112,00054848,06996024,00001503,00002012
07000992,00054863,06995704,00001506,00002013
07001128,00054865,06995344,00001504,00002012
07000920,00054878,06995568,00001503,00002015
07000984,00054894,06995480,00001508,00002012
07001144,00054900,06995472,00001503,00002017
07001344,00054908,06995584,00001507,00002016
07001248,00054915,06995520,00001505,00002019
07001368,00054923,06995448,00001508,00002017
07001432,00054933,06995360,00001507,00002017
07001208,00054935,06995464,00001507,00002021
07001448,00054950,06995328,00001511,00002020
07001576,00054967,06995456,00001507,00002020
07001440,00054971,06995600,00001506,00002019
07001208,00054975,06995392,00001505,00002018
07001600,00054963,06995512,00001507,00002018
07001384,00054968,06995760,00001507,00002016
07001320,00054959,06995368,00001508,00002015
07001144,00054953,06995400,00001506,00002014
07001344,00054949,06995528,00001506,00002014
07001176,00054933,06995336,00001503,00002014
07001392,00054924,06995648,00001507,00002012
07001368,00054925,06995456,00001505,00002011
07000744,00054913,06995472,00001504,00002012
07000920,00054912,06995464,00001504,00002011
07000904,00054910,06995576,00001505,00002009
07001032,00054897,06995544,00001501,00002009
07000984,00054900,06995392,00001503,00002008
07001224,00054896,06995464,00001506,00002011
07001264,00054903,06995456,00001500,00002011
07001624,00054892,06995592,00001505,00002009
07001560,00054897,06995568,00001505,00002009
07001448,00054894,06995032,00001504,00002010
07001016,00054887,06995104,00001504,00002010
07001080,00054881,06995208,00001503,00002010
07001456,00054879,06995824,00001508,00002011
07001304,00054877,06995312,00001503,00002010
07001344,00054872,06995248,00001506,00002010
07001520,00054874,06995048,00001506,00002010
07001432,00054872,06995096,00001503,00002010
07001064,00054877,06995048,00001502,00002008
07000976,00054874,06995376,00001503,00002011
07001016,00054873,06995272,00001504,00002010
07001216,00054873,06995088,00001504,00002008
07001224,00054866,06995216,00001505,00002010
07000824,00054864,06995456,00001501,00002012
07001136,00054864,06994952,00001500,00002009
07000856,00054866,06995112,00001504,00002009
07000696,00054860,06995040,00001503,00002010
07000504,00054857,06995456,00001504,00002007
07000376,00054857,06995400,00001507,00002007
07000664,00054863,06995248,00001502,00002008
07000432,00054867,06995144,00001502,00002006
07000448,00054873,06995152,00001506,00002011
07000560,00054872,06995352,00001504,00002010
07000712,00054875,06995288,00001503,00002013
07001040,00054877,06995248,00001501,00002010
07000712,00054871,06995280,00001504,00002008
07000512,00054873,06995072,00001503,00002007
07000584,00054873,06995368,00001504,00002011
07000448,00054871,06995184,00001505,00002011
07000576,00054877,06995000,00001502,00002008
07000584,00054874,06994888,00001505,00002010
07000592,00054879,06994976,00001503,00002010
07000528,00054880,06995064,00001502,00002010
07000672,00054867,06995120,00001503,00002008
07000608,00054881,06994808,00001503,00002010
07000816,00054886,06994768,00001501,00002014
07000584,00054885,06994952,00001503,00002010
07000672,00054885,06995032,00001508,00002014
07000440,00054889,06995080,00001502,00002014
07000416,00054885,06994896,00001508,00002013
07000576,00054892,06994944,00001503,00002016
07000600,00054890,06994992,00001504,00002013
07000600,00054885,06995064,00001501,00002013
07000872,00054885,06994944,00001505,00002013
07000688,00054883,06995096,00001504,00002013
07000272,00054888,06995160,00001504,00002013
07000528,00054890,06995216,00001502,00002014
07000640,00054887,06994896,00001502,00002014
07000600,00054890,06994896,00001504,00002011
07000256,00054881,06994928,00001505,00002013
07000280,00054892,06994824,00001503,00002016
07000040,00054896,06994776,00001503,00002017
07000336,00054891,06995080,00001501,00002015
07000328,00054893,06994808,00001505,00002014
07000400,00054896,06994952,00001506,00002015
07000248,00054899,06994928,00001503,00002016
06999816,00054912,06995048,00001501,00002013
07000296,00054918,06994720,00001504,00002012
07000536,00054919,06994792,00001503,00002015
07000648,00054915,06994720,00001503,00002009
07000192,00054905,06994944,00001501,00002010
07000208,00054895,06994808,00001503,00002007
07000216,00054893,06994688,00001499,00002006
07000272,00054881,06994528,00001498,00002008
07000064,00054869,06994512,00001499,00002006
06999848,00054866,06994672,00001498,00002005
07000264,00054854,06994648,00001497,00002002
07000184,00054839,06994792,00001496,00002003
06999944,00054828,06994464,00001499,00002003
06999920,00054822,06994416,00001497,00002003
06999984,00054813,06994664,00001499,00002002
07000120,00054804,06994680,00001498,00001999
06999976,00054803,06994712,00001498,00002002
06999760,00054796,06994224,00001498,00001998
06999984,00054790,06994400,00001497,00002003
06999960,00054780,06994424,00001496,00002000
07000040,00054771,06994576,00001499,00002001
06999848,00054760,06994544,00001496,00001997
06999936,00054742,06994656,00001497,00001997
06999624,00054737,06994136,00001494,00002004
06999288,00054733,06994264,00001496,00001999
06999752,00054725,06994280,00001496,00001996
06999896,00054728,06994008,00001497,00001995
07000184,00054728,06993992,00001497,00001999
06999752,00054722,06994064,00001495,00001998
06999656,00054726,06994288,00001494,00001998
06999664,00054726,06994264,00001497,00001996
06999608,00054724,06993936,00001497,00001999
06999600,00054721,06994104,00001497,00001996
06999728,00054719,06994184,00001495,00001998
06999792,00054715,06994592,00001494,00001999
06999408,00054709,06993760,00001495,00001997
06999512,00054711,06993536,00001493,00001998
06999504,00054706,06993624,00001493,00001998
06999656,00054703,06993920,00001497,00001998
06999616,00054697,06994024,00001493,00001996
07000056,00054690,06993896,00001493,00001996
06999968,00054691,06993944,00001493,00001997
06999560,00054679,06993904,00001496,00001996
06999384,00054685,06993784,00001492,00001994
06999424,00054677,06994032,00001492,00001995
06999056,00054674,06993952,00001494,00001996
06999320,00054661,06993848,00001493,00001996
06999400,00054651,06993416,00001493,00001999
06999192,00054651,06993728,00001492,00001996
06999320,00054640,06993672,00001493,00001996
06999576,00054638,06993688,00001495,00001996
06999576,00054640,06993656,00001494,00001998
06999400,00054632,06993864,00001494,00001996
06999528,00054632,06993632,00001495,00001997
06999608,00054635,06993832,00001493,00001998
06999432,00054642,06993680,00001493,00001998
06999272,00054653,06993456,00001495,00001999
06999296,00054656,06993256,00001493,00001996
06999304,00054670,06993480,00001494,00001997
06999168,00054667,06993376,00001492,00001997
06999056,00054665,06993472,00001493,00001998
06999008,00054671,06993576,00001491,00001999
06999432,00054677,06993344,00001495,00001998
06999384,00054687,06993544,00001493,00001999
06999504,00054697,06993576,00001494,00001998
06999512,00054710,06993424,00001493,00001998
06999592,00054720,06993360,00001494,00001998
06999088,00054725,06993496,00001493,00001999
06998960,00054724,06993224,00001494,00002002
06998968,00054731,06993208,00001497,00002000
06999312,00054737,06993088,00001492,00002002
06999344,00054752,06993368,00001497,00002003
06999304,00054770,06993320,00001497,00002003
06999552,00054792,06993320,00001496,00002004
06999576,00054800,06993608,00001496,00002003
06999560,00054803,06993176,00001497,00002002
06999272,00054783,06993104,00001495,00002000
06998864,00054778,06993096,00001495,00002000
06999032,00054773,06992848,00001493,00002000
06999200,00054774,06992960,00001498,00001999
06999024,00054762,06992936,00001498,00001997
06998928,00054758,06992520,00001495,00001998
06998928,00054750,06992672,00001495,00001997
06999192,00054758,06992776,00001496,00001996
06999184,00054752,06993016,00001496,00001993
06999072,00054749,06992672,00001494,00001994
06999112,00054751,06992912,00001496,00001995
06999280,00054752,06992768,00001496,00001994
06999248,00054757,06992824,00001493,00001996
06999112,00054752,06992776,00001496,00001996
06998840,00054756,06992648,00001495,00001994
06998784,00054763,06992544,00001497,00001996
06998784,00054759,06992808,00001495,00001994
06998848,00054756,06992608,00001494,00001996
06998960,00054754,06992304,00001496,00001996
06999104,00054759,06992536,00001494,00001995
06998928,00054752,06992376,00001494,00001994
06999000,00054753,06992648,00001492,00001995
06998768,00054756,06992696,00001491,00001993
06998704,00054751,06992432,00001496,00001993
06998872,00054756,06992224,00001494,00001990
06998776,00054753,06992344,00001494,00001994
06998720,00054748,06992424,00001496,00001991
06998808,00054747,06992352,00001494,00001995
06998736,00054758,06992336,00001496,00001994
