Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
08360360,00065770,08857728,00002177,00003194
08360376,00065806,08858296,00002180,00003197
08360248,00065828,08858016,00002184,00003195
08359600,00065852,08856616,00002180,00003197
08360264,00065873,08856656,00002179,00003196
08360168,00065888,08857816,00002181,00003202
08360552,00065901,08858672,00002181,00003201
08359712,00065928,08857736,00002181,00003205
08359944,00065941,08856416,00002177,00003204
08360136,00065952,08856752,00002180,00003203
08360416,00065949,08858104,00002181,00003196
08360536,00065943,08858480,00002178,00003200
08359760,00065913,08857424,00002182,00003197
08360184,00065883,08856448,00002179,00003194
08359992,00065843,08856648,00002174,00003193
08360608,00065810,08858160,00002174,00003190
08360136,00065767,08858208,00002177,00003189
08359624,00065731,08857184,00002173,00003189
08359904,00065690,08856120,00002176,00003184
08359720,00065659,08856720,00002175,00003186
08360464,00065634,08858096,00002174,00003182
08359600,00065601,08858104,00002176,00003186
08359568,00065568,08856840,00002174,00003185
08359592,00065532,08856072,00002169,00003184
08360032,00065505,08856504,00002177,00003183
08360128,00065478,08857928,00002175,00003183
08359696,00065440,08857912,00002175,00003182
08359776,00065413,08856728,00002174,00003179
08359168,00065373,08855824,00002170,00003181
08360240,00065344,08857040,00002174,00003179
08360032,00065325,08858168,00002170,00003177
08359856,00065294,08857816,00002173,00003175
08359312,00065275,08856096,00002176,00003180
08359456,00065258,08856048,00002174,00003178
08359656,00065257,08857016,00002170,00003179
08359680,00065250,08857944,00002170,00003178
08359520,00065247,08857280,00002172,00003178
08359064,00065252,08856256,00002173,00003182
08359816,00065250,08856136,00002171,00003180
08359856,00065246,08857352,00002174,00003183
08360416,00065245,08858184,00002173,00003182
08359832,00065249,08857448,00002175,00003179
08359624,00065244,08856272,00002174,00003179
08360192,00065246,08856592,00002172,00003179
08360336,00065245,08857832,00002173,00003180
08360384,00065243,08858544,00002174,00003179
08359856,00065249,08857800,00002172,00003184
08359920,00065254,08856616,00002172,00003182
08359936,00065257,08856960,00002170,00003181
08360736,00065262,08858192,00002174,00003184
08360304,00065272,08858584,00002174,00003185
08359664,00065287,08857440,00002170,00003183
08359952,00065289,08856400,00002172,00003185
08359976,00065305,08856864,00002172,00003186
08360480,00065314,08857952,00002174,00003184
08359904,00065327,08858376,00002174,00003186
08359728,00065337,08857016,00002174,00003188
08359680,00065349,08856088,00002173,00003189
08359752,00065373,08856760,00002175,00003189
08360336,00065385,08858160,00002175,00003191
08359848,00065394,08858128,00002177,00003190
08359568,00065406,08856872,00002178,00003193
08359424,00065428,08856264,00002175,00003191
08360248,00065444,08856976,00002176,00003191
08359864,00065450,08858024,00002176,00003193
08359648,00065470,08857792,00002180,00003192
08359232,00065481,08856528,00002177,00003193
08359320,00065496,08856112,00002176,00003199
08359936,00065512,08856880,00002176,00003195
08359744,00065534,08857792,00002177,00003195
08359864,00065542,08857728,00002175,00003200
08358960,00065559,08856376,00002181,00003195
08359848,00065571,08855872,00002177,00003203
08359792,00065588,08857128,00002178,00003201
08360024,00065605,08857944,00002177,00003199
08359600,00065621,08857536,00002182,00003202
08359048,00065636,08856008,00002177,00003201
08359816,00065644,08856208,00002180,00003201
08359712,00065665,08857280,00002181,00003203
08359880,00065689,08857856,00002182,00003208
08359360,00065702,08856960,00002180,00003204
08359160,00065721,08855760,00002180,00003207
08359488,00065733,08856128,00002177,00003207
08359680,00065746,08857304,00002182,00003210
08359952,00065774,08858056,00002182,00003208
08359136,00065788,08856720,00002183,00003214
08359296,00065816,08855608,00002182,00003213
08359312,00065822,08855832,00002185,00003215
08359840,00065836,08857328,00002183,00003213
08359576,00065842,08857824,00002184,00003212
08359312,00065831,08856680,00002180,00003208
08359136,00065819,08855872,00002181,00003208
08359744,00065793,08856408,00002180,00003207
08360168,00065761,08857384,00002176,00003203
08359624,00065718,08857720,00002175,00003202
08359416,00065680,08856424,00002175,00003202
08359056,00065645,08855408,00002178,00003200
08359800,00065603,08856296,00002177,00003202
08359896,00065572,08857512,00002175,00003196
08359552,00065536,08857424,00002177,00003198
08359328,00065514,08856016,00002176,00003194
08358968,00065486,08855416,00002174,00003197
08359680,00065454,08856208,00002177,00003193
08359696,00065427,08857536,00002178,00003193
08359600,00065387,08857184,00002173,00003193
08359176,00065368,08855776,00002173,00003192
08359504,00065333,08855400,00002173,00003194
08359480,00065301,08856480,00002173,00003191
08359728,00065285,08857416,00002170,00003188
08359272,00065250,08857448,00002171,00003187
08359080,00065222,08855544,00002171,00003189
08359296,00065210,08855296,00002169,00003192
08359352,00065203,08856544,00002172,00003190
08360112,00065188,08857504,00002170,00003189
08359192,00065190,08857040,00002173,00003188
08359192,00065191,08855496,00002172,00003191
08359112,00065193,08855432,00002173,00003192
08359800,00065198,08856704,00002175,00003188
08359552,00065195,08857632,00002171,00003188
08359144,00065196,08856512,00002170,00003189
08359080,00065193,08854896,00002175,00003189
08359120,00065196,08855576,00002173,00003189
08359640,00065185,08856848,00002172,00003191
08359144,00065181,08857448,00002174,00003190
08359200,00065185,08856312,00002174,00003192
08358712,00065186,08854992,00002176,00003192
08359376,00065187,08855624,00002175,00003195
08359376,00065192,08856904,00002172,00003193
08359144,00065195,08857200,00002176,00003193
08359112,00065208,08855776,00002174,00003193
08358648,00065208,08854984,00002172,00003193
08359408,00065218,08855576,00002174,00003193
08359456,00065226,08856744,00002177,00003192
08359384,00065242,08856984,00002174,00003191
08358664,00065247,08855736,00002175,00003192
08358968,00065259,08855056,00002175,00003195
08359064,00065275,08855944,00002173,00003194
08359456,00065286,08857152,00002176,00003197
08359320,00065299,08856792,00002175,00003196
08358848,00065311,08855872,00002178,00003200
08359368,00065330,08855152,00002178,00003200
08359208,00065343,08856512,00002173,00003201
08359440,00065357,08857376,00002176,00003197
08358824,00065374,08856872,00002177,00003202
08358856,00065386,08855584,00002174,00003200
08358944,00065400,08855384,00002175,00003204
08359680,00065414,08856352,00002177,00003202
08359584,00065430,08857256,00002179,00003201
08359096,00065446,08856856,00002181,00003206
08359032,00065457,08855392,00002180,00003206
08359224,00065471,08855568,00002180,00003208
08359792,00065485,08856920,00002179,00003210
08359592,00065514,08857576,00002178,00003208
08359376,00065525,08857128,00002178,00003210
08359312,00065545,08855696,00002180,00003208
08359840,00065556,08856072,00002183,00003212
08360504,00065566,08857584,00002180,00003212
08360424,00065596,08858400,00002180,00003211
08360216,00065605,08857688,00002182,00003213
08360360,00065626,08856624,00002180,00003214
08361040,00065637,08857360,00002180,00003214
08361328,00065650,08858712,00002181,00003213
08361248,00065645,08859320,00002180,00003212
08361112,00065634,08858152,00002180,00003211
08360640,00065607,08857064,00002179,00003211
08361184,00065584,08857856,00002178,00003207
08361168,00065545,08859096,00002176,00003203
08361200,00065503,08859352,00002176,00003201
08360472,00065463,08858000,00002176,00003198
08360664,00065429,08857136,00002173,00003199
08360776,00065398,08857656,00002178,00003198
08360648,00065370,08858960,00002177,00003197
08360664,00065337,08858520,00002173,00003198
08359680,00065313,08857384,00002175,00003197
08360128,00065286,08856504,00002175,00003198
08360288,00065258,08857280,00002174,00003198
08360552,00065239,08858520,00002173,00003194
08360008,00065217,08858112,00002175,00003193
08359384,00065195,08856488,00002175,00003191
08359824,00065167,08856064,00002173,00003191
08359776,00065144,08857160,00002168,00003186
08360224,00065123,08858024,00002172,00003187
08359400,00065110,08857664,00002171,00003188
08359736,00065099,08856264,00002171,00003188
08359400,00065093,08855880,00002171,00003188
08359888,00065091,08856824,00002171,00003189
08359848,00065091,08858232,00002174,00003188
08359368,00065097,08857096,00002172,00003185
08359056,00065101,08855752,00002173,00003190
08359184,00065098,08855832,00002172,00003184
08359864,00065097,08856928,00002171,00003185
08359360,00065101,08857832,00002172,00003185
08359416,00065103,08856960,00002170,00003185
08358792,00065093,08855664,00002169,00003183
08359552,00065102,08855776,00002174,00003187
08359856,00065106,08856968,00002173,00003184
08359552,00065102,08857680,00002168,00003187
08359208,00065103,08856640,00002171,00003182
08358720,00065114,08855552,00002173,00003188
08359440,00065119,08855752,00002169,00003187
08359592,00065131,08857048,00002171,00003186
08359384,00065130,08857480,00002170,00003190
08359080,00065143,08856344,00002172,00003187
08359056,00065154,08855368,00002175,00003188
08359448,00065162,08855808,00002172,00003187
08359552,00065167,08857448,00002174,00003188
08359584,00065181,08857408,00002171,00003188
08358832,00065194,08856048,00002174,00003189
08359080,00065207,08855104,00002174,00003188
08359240,00065228,08855928,00002171,00003196
08359720,00065242,08856888,00002175,00003189
08358912,00065245,08857008,00002176,00003194
08358872,00065272,08855648,00002174,00003195
08359024,00065277,08854984,00002173,00003192
08359216,00065291,08856024,00002172,00003194
08359448,00065309,08857160,00002173,00003196
08358936,00065321,08856784,00002176,00003201
08358584,00065338,08855400,00002175,00003202
08358744,00065352,08855272,00002176,00003198
08359432,00065370,08856352,00002177,00003196
08359080,00065383,08857296,00002177,00003203
08359208,00065400,08856496,00002174,00003202
08358608,00065415,08855272,00002174,00003199
08358912,00065437,08855224,00002175,00003206
08359040,00065450,08856504,00002175,00003201
